
IDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-9-4,28,24,20,18,16,10,88,65,45,1014,1013,1011,,10,4,19,10,,0.00,4,,269<br />
2000-9-5,28,23,19,19,18,16,94,73,51,1014,1013,1013,,11,8,23,10,,0.00,2,,270<br />
2000-9-6,30,24,18,18,16,12,94,61,37,1013,1013,1012,,9,4,26,6,,0.00,2,,268<br />
2000-9-7,29,23,18,18,13,8,94,60,35,1013,1012,1011,,10,1,27,10,,0.00,1,,264<br />
2000-9-8,28,23,18,18,14,9,94,57,37,1018,1015,1011,,10,8,19,6,,0.00,2,,288<br />
2000-9-9,30,24,18,17,13,10,83,53,35,1020,1019,1018,,,,19,6,,0.00,,,300<br />
2000-9-10,30,23,17,17,15,11,88,64,33,1017,1016,1013,,8,6,21,16,,0.00,3,,292<br />
2000-9-11,29,23,18,18,13,3,94,63,20,1014,1013,1012,,7,4,19,11,,0.00,3,,283<br />
2000-9-12,29,23,17,19,16,14,94,71,40,1013,1013,1012,,8,2,24,11,,0.00,3,,270<br />
2000-9-13,27,22,18,18,16,12,88,73,42,1014,1013,1012,,10,4,19,8,,0.00,4,,262<br />
2000-9-14,26,21,17,17,17,15,94,80,54,1016,1014,1014,,10,3,24,6,,0.00,2,,279<br />
2000-9-15,28,22,16,17,16,13,94,72,39,1016,1015,1013,,8,3,21,8,,0.00,3,,297<br />
2000-9-16,32,24,17,18,16,13,94,71,43,1015,1014,1009,,9,6,24,8,,0.00,1,,291<br />
2000-9-17,26,21,16,16,16,13,94,69,44,1016,1015,1014,,10,7,23,11,,0.00,4,,272<br />
2000-9-18,28,22,16,18,15,13,88,71,45,1017,1016,1015,,10,9,19,3,,0.00,1,,302<br />
2000-9-19,29,24,19,19,16,14,88,70,42,1017,1016,1015,,10,8,24,10,,0.00,2,,297<br />
2000-9-20,33,26,18,19,14,10,94,62,24,1015,1013,1009,,7,3,24,6,,0.00,2,,292<br />
2000-9-21,30,24,19,20,17,9,94,71,43,1013,1013,1011,,8,3,21,6,,0.00,2,,271<br />
2000-9-22,31,23,17,20,14,8,88,58,25,1015,1013,1012,,,,13,5,,0.00,,,279<br />
2000-9-23,31,24,18,16,11,5,73,44,22,1016,1015,1014,,,,19,5,,0.00,,,277<br />
2000-9-24,30,24,18,18,11,5,83,47,23,1017,1016,1016,,11,11,23,10,,0.00,,,287<br />
2000-9-25,27,22,17,17,15,11,94,69,47,1018,1017,1016,,9,3,19,8,,0.00,2,,275<br />
2000-9-26,26,22,17,17,15,12,94,70,42,1017,1016,1014,,10,5,23,13,,0.00,3,,283<br />
2000-9-27,24,20,16,15,13,10,88,66,41,1014,1013,1008,,11,11,16,10,,0.00,4,,261<br />
2000-9-28,22,18,15,15,13,10,88,72,46,1017,1013,1011,,11,9,24,11,,0.00,3,Rain,261<br />
2000-9-29,24,19,15,14,12,10,94,69,46,1018,1014,1013,,11,9,24,14,,0.00,4,,270<br />
2000-9-30,24,18,13,13,11,8,88,65,41,1020,1019,1018,,11,11,19,5,,0.00,3,,289<br />
2000-10-1,24,18,12,13,11,9,88,65,44,1019,1018,1016,,11,11,21,2,,0.00,4,,325<br />
2000-10-2,25,20,15,16,12,5,88,63,39,1017,1015,1013,,11,11,19,6,,0.00,2,,311<br />
2000-10-3,21,18,17,8,7,4,55,47,37,1015,1014,1014,,,,10,6,,0.00,,,53<br />
