
TMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-5-16,36,28,21,13,8,4,53,28,11,1010,1008,1006,10,10,7,26,11,,0.00,2,Thunderstorm,250<br />
2013-5-17,33,28,22,12,8,6,47,27,13,1011,1008,1006,10,10,10,29,14,32,0.00,3,Rain-Thunderstorm,294<br />
2013-5-18,26,22,19,17,16,12,83,67,42,1011,1009,1007,10,10,6,29,14,,2.03,8,Rain-Thunderstorm,259<br />
2013-5-19,28,22,16,14,12,9,77,50,27,1010,1009,1008,10,10,10,14,8,,0.00,4,,277<br />
2013-5-20,21,18,14,17,14,12,94,71,53,1020,1014,1010,10,9,2,32,10,35,8.89,8,Rain-Thunderstorm,276<br />
2013-5-21,20,17,14,13,9,5,88,60,33,1023,1021,1010,10,10,10,14,6,,0.00,7,Rain,83<br />
2013-5-22,28,20,12,13,8,5,88,46,18,1018,1014,1012,10,10,9,26,10,,1.02,3,Rain-Thunderstorm,102<br />
2013-5-23,29,23,18,14,10,6,73,43,18,1016,1014,1013,10,10,10,32,13,,2.03,7,Rain-Thunderstorm,280<br />
2013-5-24,28,24,20,18,10,4,64,43,15,1018,1016,1015,10,10,0,26,16,,0.00,7,,297<br />
2013-5-25,33,26,18,11,6,-1,82,30,10,1016,1015,1013,10,10,10,26,13,,0.00,2,,282<br />
2013-5-26,35,26,17,12,3,-2,50,25,7,1015,1014,1012,10,10,10,21,8,,0.00,0,,117<br />
2013-5-27,35,26,16,4,-2,-4,28,14,4,1014,1012,1010,10,10,10,43,23,58,0.00,0,,104<br />
2013-5-28,38,27,16,6,1,-4,52,17,4,1012,1010,1007,10,10,10,32,16,43,0.00,1,,103<br />
2013-5-29,37,29,20,13,6,-1,44,24,5,1013,1011,1008,10,10,10,32,13,,0.00,3,,313<br />
2013-5-30,35,29,23,16,12,9,57,37,12,1011,1009,1007,10,10,10,32,18,,0.00,5,,304<br />
2013-5-31,32,28,23,16,13,11,57,41,25,1010,1009,1007,10,10,10,21,11,,0.00,4,,280<br />
2013-6-1,35,28,21,16,11,7,57,35,16,1008,1006,1003,10,10,10,21,10,,0.00,1,,269<br />
2013-6-2,36,30,24,14,7,3,47,23,10,1007,1005,1003,10,10,10,29,13,,0.00,5,,285<br />
2013-6-3,34,29,24,13,8,5,34,24,13,1009,1006,1003,10,10,10,26,14,,0.00,4,,262<br />
2013-6-4,38,31,24,15,8,4,39,23,13,1008,1006,1003,10,10,8,21,11,,0.00,3,Thunderstorm,287<br />
2013-6-5,73,48,24,15,9,5,41,25,15,1014,1011,1008,10,10,7,21,13,,0.00,3,,305<br />
2013-6-6,38,30,22,12,7,2,44,22,9,1014,1011,1007,10,10,9,43,18,61,0.00,2,,104<br />
2013-6-7,39,31,24,12,4,1,28,15,7,1008,1005,1001,10,10,10,40,27,64,0.00,1,,97<br />
2013-6-8,34,29,24,18,14,10,57,37,20,1008,1006,1003,10,10,10,29,21,,0.00,6,,297<br />
2013-6-9,33,28,23,13,10,6,50,32,14,1012,1010,1008,10,10,10,21,14,,0.00,3,,297<br />
2013-6-10,35,28,22,12,7,4,40,25,11,1013,1011,1007,10,10,10,21,13,,0.00,0,,99<br />
2013-6-11,37,29,22,11,4,1,31,20,7,1011,1008,1005,10,10,10,32,18,,0.00,2,,102<br />
2013-6-12,35,28,21,11,5,1,38,21,12,1008,1006,1004,10,10,8,26,8,,0.00,4,Rain,273<br />
2013-6-13,37,29,21,16,7,0,47,26,8,1009,1007,1006,10,10,9,29,11,,0.00,3,,341<br />
2013-6-14,37,28,19,9,1,-3,38,16,6,1012,1010,1008,10,10,10,18,10,,0.00,0,,97<br />
2013-6-15,37,28,19,11,1,-6,46,19,4,1011,1010,1008,10,10,7,14,6,,0.00,0,,141<br />
2013-6-16,38,29,21,7,0,-6,40,14,6,1011,1009,1007,10,10,10,18,8,32,0.00,0,,8<br />
2013-6-17,35,28,22,7,-3,-11,27,13,4,1011,1009,1006,10,10,10,26,18,35,0.00,0,,103<br />
2013-6-18,37,28,19,8,-3,-10,24,11,4,1006,1002,1000,10,10,10,26,14,,0.00,0,,107<br />
2013-6-19,38,29,19,9,2,-5,35,18,5,1004,1002,1001,19,10,6,32,10,,0.00,3,,273<br />
2013-6-20,38,31,23,11,4,-2,36,17,9,1007,1005,1003,10,10,9,29,13,,0.00,4,,274<br />
2013-6-21,34,29,25,16,12,6,45,31,21,1009,1008,1005,10,10,10,21,13,32,0.00,6,Rain-Thunderstorm,316<br />
2013-6-22,34,28,22,17,14,11,61,41,22,1013,1011,1009,10,10,10,35,11,,0.00,5,,298<br />
2013-6-23,34,29,23,16,12,9,51,32,19,1014,1011,1008,10,10,10,26,13,,0.00,5,,317<br />
2013-6-24,37,31,25,13,8,5,37,24,9,1012,1009,1005,10,10,10,18,8,,0.00,4,,102<br />
2013-6-25,36,29,23,13,7,2,34,18,7,1007,1005,1004,10,10,7,21,11,,0.00,4,,109<br />
2013-6-26,38,31,23,16,11,8,40,26,15,1008,1007,1005,10,10,10,29,14,29,0.00,5,,288<br />
2013-6-27,34,30,25,18,12,10,39,31,22,1011,1009,1007,10,10,10,32,23,47,0.00,5,Rain-Thunderstorm,285<br />
2013-6-28,34,29,24,15,9,6,36,27,20,1010,1009,1007,10,10,10,32,24,,0.00,3,Rain-Thunderstorm,292<br />
2013-6-29,36,28,22,15,13,11,48,28,16,1008,1007,1005,10,10,10,21,13,,0.00,8,,-1<br />
2013-6-30,38,30,23,14,8,5,38,25,8,1008,1006,1004,10,10,10,26,13,32,0.00,3,,286<br />
2013-7-1,38,31,24,12,7,3,34,20,7,1005,1004,1000,10,10,9,26,11,,0.00,1,,292<br />
2013-7-2,40,32,24,12,5,1,35,16,7,1001,999,997,10,10,6,26,13,,0.00,0,,295<br />
2013-7-3,37,29,21,13,8,6,38,22,15,1006,1003,1000,10,10,10,26,10,,0.00,2,,324<br />
2013-7-4,34,28,22,11,3,0,31,17,7,1011,1009,1001,10,10,10,14,8,,0.00,3,,21<br />
2013-7-5,36,28,21,12,5,1,38,21,7,1013,1011,1009,10,10,8,18,6,,0.00,0,,48<br />
2013-7-6,37,29,21,10,2,-1,25,15,5,1014,1013,1011,10,10,10,18,13,29,0.00,0,,94<br />
2013-7-7,39,29,19,9,3,-2,38,17,4,1014,1012,1009,10,10,10,21,10,,0.00,0,,108<br />
2013-7-8,38,30,22,8,3,0,33,16,4,1012,1010,1007,10,10,10,21,11,,0.00,0,,102<br />
2013-7-9,37,31,24,20,12,4,74,31,13,1010,1008,1005,10,10,9,35,13,43,0.00,3,Rain,317<br />
2013-7-10,36,30,24,21,16,13,73,42,21,1009,1006,1004,10,10,9,18,8,29,0.00,5,Rain,349<br />
2013-7-11,38,31,24,18,9,3,48,24,6,1007,1005,1002,10,10,9,14,8,32,0.00,2,,349<br />
2013-7-12,42,33,24,16,8,4,41,18,6,1004,1002,1000,10,10,10,29,10,,0.00,0,,110<br />
2013-7-13,34,30,27,18,13,10,54,30,18,1010,1007,1004,10,9,6,32,18,,0.00,6,Rain,284<br />
2013-7-14,37,32,27,16,10,7,42,25,12,1011,1009,1007,10,10,7,32,14,,0.00,4,,300<br />
2013-7-15,39,32,24,13,8,4,42,22,8,1010,1008,1006,10,10,10,18,6,,0.00,1,,87<br />
2013-7-16,40,31,23,14,5,-2,41,19,4,1010,1008,1006,10,10,6,14,6,26,0.00,0,,40<br />
2013-7-17,42,33,24,17,3,1,23,13,4,1008,1006,1004,10,10,10,32,16,58,0.00,0,,116<br />
2013-7-18,43,34,26,15,7,2,29,16,4,1007,1004,1001,10,10,8,29,14,32,0.00,0,,118<br />
2013-7-19,40,33,27,19,15,11,45,28,15,1005,1003,1000,10,10,10,21,13,40,0.00,0,,300<br />
2013-7-20,39,33,27,17,14,12,54,29,14,1006,1004,1001,10,10,10,32,18,43,0.00,2,,302<br />
2013-7-21,37,33,28,17,14,10,45,31,20,1009,1006,1003,10,10,10,21,13,32,0.00,5,,335<br />
2013-7-22,39,32,25,15,8,4,39,21,7,1004,1003,1002,10,10,10,21,10,,0.00,0,,115<br />
2013-7-23,41,33,26,17,9,1,51,24,4,1008,1006,1003,10,10,10,32,14,,0.00,1,,70<br />
2013-7-24,42,34,26,12,6,3,34,16,4,1007,1005,1003,10,10,7,26,13,,0.00,1,,105<br />
2013-7-25,39,33,27,17,13,4,40,26,12,1008,1005,1002,10,10,10,26,11,,0.00,1,,305<br />
2013-7-26,38,32,27,19,16,14,48,34,19,1004,1002,999,10,10,10,21,11,,0.00,1,,296<br />
2013-7-27,37,33,29,17,13,7,45,29,15,1007,1005,1003,10,10,6,29,18,,0.00,2,,291<br />
2013-7-28,41,33,26,14,10,8,47,23,9,1006,1004,1000,10,10,7,32,11,,0.00,0,,105<br />
2013-7-29,39,33,27,19,14,9,51,30,17,1006,1004,1001,10,10,8,32,16,,0.00,0,,300<br />
2013-7-30,37,31,26,19,15,11,58,36,17,1006,1004,1001,10,10,9,26,13,,0.00,1,,309<br />
2013-7-31,36,26,16,17,13,12,45,30,18,1008,1005,1004,10,10,7,32,14,,0.00,4,,310<br />
2013-8-1,37,32,27,16,11,8,40,25,13,1009,1006,1004,10,10,10,32,13,,0.00,5,,95<br />
2013-8-2,38,32,25,14,7,3,33,19,6,1009,1007,1005,10,10,7,29,16,,0.00,2,,107<br />
2013-8-3,39,32,26,17,11,4,48,26,8,1010,1007,1005,10,10,7,29,13,,0.00,3,,327<br />
2013-8-4,41,34,28,10,7,6,27,17,7,1006,1004,1001,10,10,10,35,21,55,0.00,4,,103<br />
2013-8-5,38,32,26,19,14,7,51,31,17,1007,1003,1001,10,10,10,35,18,,0.00,4,,310<br />
2013-8-6,30,28,25,18,16,10,61,47,30,1011,1009,1007,10,10,10,26,18,,0.00,7,Rain,275<br />
2013-8-7,34,28,22,13,9,5,44,28,15,1013,1011,1009,10,10,10,35,14,50,0.00,2,,288<br />
2013-8-8,36,29,22,16,10,8,53,29,17,1011,1008,1005,10,10,10,29,11,,0.00,0,,301<br />
