
KGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-6-9,24,18,13,13,11,9,82,56,38,1013,1011,1010,10,10,10,35,11,55,0.00,3,Rain,142<br />
2006-6-10,30,22,15,12,10,5,77,51,20,1013,1012,1010,10,10,10,26,13,,0.00,3,Thunderstorm,119<br />
2006-6-11,28,21,14,12,10,7,82,49,26,1015,1013,1012,10,10,10,14,8,,0.00,3,,190<br />
2006-6-12,31,23,16,14,11,8,77,47,25,1016,1015,1014,10,10,10,18,11,,0.00,3,,131<br />
2006-6-13,34,24,16,14,11,6,82,45,18,1014,1011,1008,10,10,10,26,10,,0.00,3,Thunderstorm,180<br />
2006-6-14,34,26,18,16,12,8,88,46,20,1016,1010,1008,10,9,3,43,18,,0.00,5,Rain-Thunderstorm,158<br />
2006-6-15,26,20,15,14,7,-1,88,49,18,1021,1017,1015,10,10,10,35,14,47,0.00,4,,270<br />
2006-6-16,29,20,12,8,3,-5,72,36,11,1022,1021,1019,,,,18,13,,0.00,,,98<br />
2006-6-17,32,23,15,9,4,0,67,32,14,1019,1016,1014,9,9,9,35,13,47,0.00,1,,86<br />
2006-6-18,33,24,15,9,4,-2,63,31,10,1016,1015,1014,10,10,10,26,13,,0.00,6,,110<br />
2006-6-19,34,26,17,10,7,2,59,31,14,1015,1012,1010,,,,32,13,,0.00,,,97<br />
2006-6-20,36,27,19,12,7,2,52,30,13,1011,1009,1008,,,,18,13,,0.00,,,147<br />
2006-6-21,38,29,21,12,7,2,47,26,11,1009,1008,1007,10,10,10,26,14,,0.00,3,,187<br />
2006-6-22,34,28,22,12,8,5,50,31,16,1010,1009,1008,10,10,10,35,16,,0.00,4,,182<br />
2006-6-23,32,26,19,14,10,6,60,40,21,1011,1009,1007,10,10,8,29,13,47,0.00,5,Rain-Thunderstorm,127<br />
2006-6-24,33,26,18,16,9,3,83,41,16,1012,1011,1010,10,10,10,72,13,,0.00,4,Rain-Thunderstorm,176<br />
2006-6-25,32,23,16,11,7,5,59,32,18,1013,1011,1009,10,10,8,26,14,,0.00,3,,201<br />
2006-6-26,35,27,19,12,8,2,60,32,12,1010,1007,1005,10,10,10,26,13,,0.00,3,,182<br />
2006-6-27,29,24,19,17,12,7,88,52,28,1009,1006,1004,10,9,6,47,16,,0.00,5,Rain-Thunderstorm,158<br />
2006-6-28,34,27,20,14,11,6,68,39,20,1007,1005,1004,10,10,10,29,18,,0.00,4,Thunderstorm,166<br />
2006-6-29,35,28,21,13,9,5,60,34,17,1006,1005,1003,10,10,10,21,13,,0.00,5,,171<br />
2006-6-30,30,24,19,17,11,7,88,46,25,1006,1004,1002,10,9,5,47,19,55,0.00,4,Rain-Thunderstorm,162<br />
2006-7-1,29,23,17,17,15,12,94,61,35,1009,1005,1003,10,9,5,50,14,,0.00,4,Rain-Thunderstorm,214<br />
2006-7-2,31,24,18,17,14,11,88,63,29,1009,1007,1005,10,9,5,35,14,43,0.00,4,Rain-Thunderstorm,165<br />
2006-7-3,33,24,17,14,12,7,82,47,20,1008,1006,1005,10,10,10,18,11,,0.00,3,,164<br />
2006-7-4,35,27,19,16,12,8,78,42,19,1008,1007,1006,10,10,10,18,11,,0.00,3,,184<br />
2006-7-5,36,28,21,19,13,10,78,43,22,1013,1009,1007,10,10,10,40,16,,0.00,6,Rain-Thunderstorm,198<br />
2006-7-6,25,22,19,18,17,15,88,69,54,1017,1014,1009,10,10,8,26,16,,0.00,4,Rain,202<br />
2006-7-7,31,23,17,16,11,4,88,48,18,1016,1012,1010,10,10,10,18,11,,0.00,4,,332<br />
2006-7-8,33,26,18,14,8,1,73,38,14,1011,1010,1009,10,10,10,21,10,,0.00,3,,2<br />
2006-7-9,32,23,16,6,2,-3,52,24,11,1012,1010,1007,10,10,10,29,11,,0.00,3,Rain,246<br />
2006-7-10,29,22,15,6,2,-2,45,26,14,1009,1008,1006,10,10,10,29,16,,0.00,3,,315<br />
2006-7-11,28,22,16,11,5,1,68,38,18,1010,1006,1004,10,10,10,32,13,43,0.00,5,Rain,262<br />
2006-7-12,27,21,15,11,7,3,68,47,21,1009,1007,1004,10,10,10,43,19,50,0.00,3,Rain,171<br />
2006-7-13,23,17,12,11,9,4,88,62,29,1012,1010,1008,10,10,8,29,13,,0.00,5,Rain-Thunderstorm,235<br />
2006-7-14,26,19,12,12,9,5,94,61,28,1012,1010,1009,10,10,10,26,10,43,0.00,4,Rain,256<br />
2006-7-15,27,19,12,12,11,8,88,60,32,1013,1010,1008,10,10,8,32,11,47,0.00,4,Rain,237<br />
2006-7-16,28,21,15,12,9,6,77,47,26,1013,1012,1010,10,10,10,26,11,,0.00,5,,266<br />
2006-7-17,32,24,17,12,8,4,72,40,18,1013,1012,1010,,,,14,10,,0.00,,,38<br />
2006-7-18,34,24,16,11,8,4,72,37,15,1011,1009,1008,10,10,10,40,10,,0.00,5,Rain,177<br />
2006-7-19,34,27,19,12,8,3,64,34,15,1011,1010,1009,10,10,10,40,13,47,0.00,3,Rain,128<br />
2006-7-20,35,30,24,10,7,4,41,22,15,1012,1011,1011,,,,18,10,,0.00,,,326<br />
2006-7-21,36,27,18,13,9,4,68,33,14,1012,1011,1010,,,,21,11,,0.00,,,303<br />
2006-7-22,37,28,20,13,10,4,64,34,13,1011,1010,1010,8,8,8,18,10,,0.00,0,,215<br />
