
BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-5-29,,,,,,,,,,1016,1014,1012,10,7,1,14,10,,0.00,6,Fog-Rain,322<br />
2001-5-30,,,,,,,,,,1019,1017,1015,8,2,0,16,5,,0.00,7,Fog,83<br />
2001-5-31,,,,,,,,,,1017,1015,1013,10,6,0,14,10,,0.00,6,Fog,77<br />
2001-6-1,,,,,,,,,,1015,1014,1012,10,9,5,14,5,,0.00,6,Rain,110<br />
2001-6-2,,,,,,,,,,1019,1017,1015,10,8,3,121,10,,0.00,6,,128<br />
2001-6-3,,,,,,,,,,1019,1017,1015,10,7,1,19,6,,0.00,3,Fog,69<br />
2001-6-4,,,,,,,,,,1020,1017,1015,,,,11,3,,0.00,,,21<br />
2001-6-5,,,,,,,,,,1016,1013,1010,10,9,8,24,5,,0.00,4,,46<br />
2001-6-6,,,,,,,,,,1019,1015,1012,10,8,3,27,14,,0.00,7,Rain,160<br />
2001-6-7,,,,,,,,,,1021,1020,1019,10,10,10,19,6,,0.00,6,,117<br />
2001-6-8,,,,,,,,,,1022,1020,1019,10,4,0,19,3,,0.00,4,Fog,78<br />
2001-6-9,,,,,,,,,,1022,1020,1019,10,4,0,11,5,,0.00,4,Fog,131<br />
2001-6-10,,,,,,,,,,1026,1024,1021,10,5,1,74,10,,0.00,7,,100<br />
2001-6-11,,,,,,,,,,1026,1023,1021,10,8,5,19,11,,0.00,6,,101<br />
2001-6-12,,,,,,,,,,1022,1020,1018,9,9,9,19,8,,0.00,4,,71<br />
2001-6-13,,,,,,,,,,1020,1017,1015,10,7,5,13,3,,0.00,2,,51<br />
2001-6-14,,,,,,,,,,1016,1013,1011,8,6,1,16,5,,0.00,1,Fog,4<br />
2001-6-15,,,,,,,,,,1012,1008,1006,10,10,10,23,5,,0.00,5,,328<br />
2001-6-16,,,,,,,,,,1016,1011,1007,10,6,2,24,13,,0.00,7,Rain,229<br />
2001-6-17,,,,,,,,,,1024,1019,1016,10,10,10,50,29,,0.00,6,,288<br />
2001-6-18,,,,,,,,,,1028,1027,1024,10,10,10,24,16,,0.00,6,Rain,252<br />
2001-6-19,,,,,,,,,,1028,1023,1017,10,8,5,16,5,,0.00,7,Rain,143<br />
2001-6-20,,,,,,,,,,1025,1019,1014,10,7,3,55,26,58,0.00,8,Rain,289<br />
2001-6-21,,,,,,,,,,1028,1026,1015,10,10,10,32,19,,0.00,5,,289<br />
2001-6-22,,,,,,,,,,1029,1026,1022,10,9,6,13,6,,0.00,1,,307<br />
2001-6-23,,,,,,,,,,1025,1024,1022,10,8,6,13,5,,0.00,1,,253<br />
2001-6-24,,,,,,,,,,1025,1023,1022,10,10,10,32,10,,0.00,6,,99<br />
2001-6-25,,,,,,,,,,1023,1018,1015,10,5,1,27,10,,0.00,8,Rain,109<br />
2001-6-26,,,,,,,,,,1023,1019,1017,10,10,6,37,21,,0.00,6,Rain,291<br />
2001-6-27,,,,,,,,,,1027,1025,1023,10,9,4,26,16,,0.00,7,Rain,294<br />
2001-6-28,,,,,,,,,,1028,1027,1025,10,7,3,19,5,,0.00,3,,78<br />
2001-6-29,,,,,,,,,,1026,1023,1019,10,4,0,23,10,,0.00,2,Fog,92<br />
2001-6-30,,,,,,,,,,1021,1019,1017,8,8,7,14,5,,0.00,3,,26<br />
2001-7-1,,,,,,,,,,1018,1016,1014,10,7,3,14,3,,0.00,1,,322<br />
2001-7-2,,,,,,,,,,1019,1017,1015,10,8,6,19,8,,0.00,7,Rain-Thunderstorm,162<br />
