
NPT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-5-11,31,23,16,19,17,15,100,74,45,1018,1016,1013,8,7,5,24,6,,0.00,4,Rain-Thunderstorm,158<br />
2015-5-12,29,22,14,19,16,13,100,71,33,1019,1015,1012,10,8,4,13,3,34,0.00,3,,250<br />
2015-5-13,30,24,18,19,17,16,94,71,43,1016,1014,1012,10,8,3,21,6,,0.00,2,,180<br />
2015-5-14,31,24,17,19,16,12,94,63,31,1017,1015,1013,11,8,4,21,6,,0.00,3,,291<br />
2015-5-15,29,24,20,21,16,12,88,61,39,1017,1015,1013,7,6,4,16,6,,1.02,5,,298<br />
2015-5-16,29,23,18,19,16,14,88,72,36,1016,1014,1012,8,6,3,14,3,,2.03,5,Rain-Thunderstorm,172<br />
2015-5-17,29,23,16,18,16,12,94,66,37,1015,1013,1010,10,7,5,19,6,,0.00,4,Rain-Thunderstorm,152<br />
2015-5-18,29,23,18,19,17,16,94,70,46,1014,1013,1010,8,6,4,14,5,,0.00,3,,293<br />
2015-5-19,30,23,16,19,18,16,94,73,44,1014,1012,1009,10,7,3,23,5,,0.00,3,,208<br />
2015-5-20,32,26,20,21,19,18,89,71,42,1013,1011,1009,14,8,5,23,8,,0.00,4,Rain-Thunderstorm,226<br />
2015-5-21,31,26,20,19,17,12,89,62,27,1012,1010,1008,10,7,4,21,6,40,0.00,4,Rain-Thunderstorm,267<br />
2015-5-22,32,24,17,17,15,2,88,56,23,1010,1009,1007,10,7,5,19,5,,0.00,1,,325<br />
2015-5-23,33,24,16,16,13,8,86,59,16,1012,1009,1007,10,7,5,34,6,55,1.02,3,Rain-Thunderstorm,73<br />
2015-5-24,32,23,13,18,14,8,94,61,22,1012,1010,1008,10,8,6,24,6,,0.00,1,,339<br />
2015-5-25,32,24,17,20,15,-7,85,56,5,1016,1010,1008,9,7,3,23,8,37,0.00,2,Rain-Thunderstorm,266<br />
2015-5-26,31,23,16,19,16,14,90,63,35,1016,1013,1010,10,8,4,16,6,,0.00,3,Rain-Snow-Thunderstorm,262<br />
2015-5-27,31,23,15,19,16,13,94,64,27,1014,1012,1010,10,8,6,19,5,,0.00,2,Thunderstorm,272<br />
2015-5-28,32,24,16,20,17,15,88,64,45,1013,1011,1009,8,7,6,14,6,,0.00,2,,257<br />
2015-5-29,31,25,19,20,18,17,88,68,39,1014,1012,1010,7,7,5,24,6,,0.00,2,Rain,203<br />
2015-5-30,31,26,19,21,19,18,88,71,46,1015,1013,1011,7,6,3,19,6,,0.00,4,Thunderstorm,216<br />
2015-5-31,33,26,19,20,17,13,94,63,22,1013,1011,1008,10,8,6,24,6,39,0.00,2,Thunderstorm,292<br />
2015-6-1,33,26,18,18,14,7,86,50,16,1014,1011,1009,10,8,5,26,8,45,0.00,1,,280<br />
2015-6-2,33,26,18,17,13,8,78,50,19,1015,1013,1011,10,8,6,23,5,,0.00,2,,289<br />
2015-6-3,33,26,18,19,16,12,78,56,29,1016,1015,1013,10,8,6,23,5,,0.00,2,,262<br />
2015-6-4,29,24,20,20,18,17,90,73,50,1019,1016,1013,8,5,2,14,3,,0.51,4,Rain-Thunderstorm,160<br />
2015-6-5,39,29,18,19,17,15,94,61,18,1016,1014,1010,10,7,4,21,6,,99.06,1,,253<br />
