
IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-4-29,37,32,28,25,23,22,84,64,42,1005,1002,999,5,4,2,14,6,,0.00,1,,320<br />
2006-4-30,38,32,27,25,23,21,79,59,37,1005,1003,1001,5,4,2,11,3,,0.00,1,,231<br />
2006-5-1,38,33,28,26,25,23,89,67,42,1008,1005,1004,5,4,3,19,11,,0.00,1,,175<br />
2006-5-2,37,32,28,26,24,21,89,67,44,1009,1006,1005,5,4,3,14,11,,0.00,1,,169<br />
2006-5-3,37,32,28,29,26,23,94,70,47,1009,1007,1004,5,4,2,19,10,,0.00,2,,171<br />
2006-5-4,38,32,27,27,26,24,100,71,47,1008,1007,1004,5,4,4,21,14,,0.00,2,,184<br />
2006-5-5,37,32,28,27,24,20,89,64,44,1010,1007,1005,6,4,3,19,10,,0.00,2,,166<br />
2006-5-6,36,31,27,26,24,21,84,67,53,1007,1004,1001,5,4,4,23,13,,0.00,1,,168<br />
2006-5-7,30,27,24,26,23,20,89,75,58,1007,1004,1001,5,4,1,19,13,,0.00,4,Rain-Thunderstorm,118<br />
2006-5-8,33,28,23,24,23,22,94,73,55,1008,1005,1003,4,3,2,10,2,,0.00,3,,121<br />
2006-5-9,33,29,24,27,24,22,94,84,66,1006,1004,1001,4,3,1,14,3,,0.00,5,Rain-Thunderstorm,112<br />
2006-5-10,35,29,25,26,24,22,89,67,49,1004,1003,1000,5,3,1,10,3,,0.00,2,,106<br />
2006-5-16,34,31,27,25,24,23,79,67,52,1007,1005,1004,5,4,3,13,5,,0.00,1,,173<br />
2006-5-17,36,30,25,27,24,22,94,71,44,1009,1006,1003,7,4,2,11,2,,0.00,1,,140<br />
2006-5-18,36,32,28,26,25,23,89,71,47,1007,1005,1002,5,4,4,8,5,,0.00,1,,193<br />
2006-7-24,37,37,36,24,24,23,47,47,47,1005,1004,1004,5,5,5,14,14,,0.00,1,,167<br />
2006-9-16,28,,28,25,25,25,84,84,84,1007,1007,1007,,,,0,0,,0.00,3,,-1<br />
