date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2015-5-22,26,20,15,7,4,-2,52,37,16,1022,1020,1017,,,,32,21,48,0.00,,,358
2015-5-23,27,21,16,7,4,0,49,35,20,1018,1016,1014,,,,26,18,45,0.00,,,356
2015-5-24,28,22,17,9,7,4,59,41,25,1015,1014,1013,10,10,10,35,19,53,0.00,1,,347
2015-5-25,26,21,16,12,10,8,72,51,32,1017,1016,1014,10,10,10,21,16,39,0.00,1,,333
2015-5-26,30,25,20,16,9,6,73,40,23,1018,1017,1016,10,10,10,23,13,35,0.00,1,,337
2015-5-27,33,26,18,11,6,0,64,31,13,1016,1015,1013,,,,24,14,37,0.00,,,346
2015-5-28,30,23,17,13,9,6,68,41,25,1015,1014,1013,,,,23,10,34,0.00,,,327
2015-5-29,24,19,15,16,12,10,100,63,41,1017,1014,1012,10,10,10,37,18,55,0.00,1,,325
2015-5-30,24,19,14,13,11,10,94,66,44,1021,1018,1016,10,10,10,35,26,53,0.00,1,,334
2015-5-31,23,18,14,15,12,10,94,71,46,1021,1019,1018,10,10,10,39,23,61,0.00,2,,330
2015-6-1,23,19,15,15,13,9,94,72,47,1020,1019,1018,10,10,10,34,19,45,0.00,5,,334
2015-6-2,25,19,13,12,10,6,82,61,33,1020,1019,1018,10,10,10,27,19,,0.00,1,,326
2015-6-3,30,22,15,15,13,11,88,63,33,1019,1018,1016,10,10,10,32,18,,0.00,1,,329
2015-6-4,30,22,15,14,13,10,88,61,35,1018,1017,1015,10,10,10,32,16,29,0.00,1,,328
2015-6-5,28,21,15,14,12,10,82,63,39,1018,1017,1016,10,10,10,29,19,,0.00,1,,320
2015-6-6,31,23,17,16,13,12,77,58,35,1018,1017,1016,,,,24,16,,0.00,,,326
2015-6-7,32,26,20,18,13,9,78,49,31,1017,1016,1015,10,10,10,39,10,55,0.00,1,,317
2015-6-8,32,26,20,16,12,8,64,43,25,1016,1015,1013,10,10,10,23,11,37,0.00,1,,287
2015-6-9,32,27,22,16,13,10,69,45,27,1015,1013,1012,10,10,10,24,13,37,0.00,1,Rain,305
2015-6-10,24,20,16,16,14,12,88,72,56,1013,1011,1010,10,10,10,32,11,,0.00,3,,264
2015-6-11,20,18,15,14,12,9,88,74,52,1015,1013,1011,10,10,10,19,11,,0.00,4,Rain,285
2015-6-12,20,17,14,12,11,7,88,70,43,1016,1015,1014,10,10,10,19,11,35,0.00,2,Rain,300
2015-6-13,19,16,12,13,11,10,88,75,60,1015,1014,1013,10,10,9,26,11,,0.00,2,Rain,243
2015-6-14,18,16,14,15,13,12,100,86,68,1016,1014,1013,10,9,3,21,14,,0.00,3,Rain,249
2015-6-15,22,17,13,13,12,11,94,75,50,1022,1018,1016,10,10,10,37,11,42,0.00,2,,313
2015-6-16,25,20,15,14,13,10,88,69,47,1023,1022,1021,10,10,10,27,19,,0.00,1,,320
2015-6-17,32,24,17,14,11,5,77,49,22,1022,1020,1017,10,10,10,29,19,48,0.00,1,,340
2015-6-18,30,26,22,12,11,7,53,38,29,1018,1017,1016,,,,23,16,45,0.00,,,339
2015-6-19,34,26,18,17,11,6,78,39,17,1017,1016,1015,,,,24,11,32,0.00,,,345
2015-6-20,34,27,21,14,12,7,60,36,24,1016,1015,1014,10,10,10,23,11,42,0.00,,,333
2015-6-21,28,23,18,18,15,10,88,64,32,1017,1016,1015,10,10,10,24,11,,0.00,1,,249
2015-6-22,24,20,17,16,14,13,94,73,53,1018,1017,1016,10,10,8,21,13,,0.00,3,,280
2015-6-23,23,20,17,14,13,12,82,68,53,1019,1018,1017,10,10,10,19,11,,0.00,5,,293
2015-6-24,24,19,15,14,13,11,94,69,47,1021,1019,1018,10,10,10,24,11,27,0.00,1,,309
2015-6-25,29,22,15,15,13,12,88,65,37,1022,1020,1019,10,10,10,27,14,35,0.00,1,,319
2015-6-26,31,23,16,15,12,5,88,55,23,1022,1021,1020,10,10,10,26,13,,0.00,1,,329
2015-6-27,35,27,18,15,12,9,73,48,25,1020,1019,1017,,,,27,13,,0.00,,,346
2015-6-28,32,26,20,13,11,8,64,45,22,1019,1018,1017,,,,32,19,,0.00,,,334
2015-6-29,35,27,18,17,13,4,83,54,15,1018,1016,1014,10,10,10,23,14,,0.00,1,,323
2015-6-30,28,22,16,18,16,14,94,76,48,1016,1015,1014,10,9,6,23,14,29,0.00,2,Fog,315
2015-7-1,23,20,17,19,16,14,94,81,65,1019,1016,1015,10,10,7,23,8,,0.00,2,Rain,263
2015-7-2,25,20,15,15,13,10,94,68,44,1021,1020,1019,10,10,10,24,11,,0.00,1,,322
2015-7-3,27,21,15,15,12,6,94,64,26,1022,1020,1018,10,10,10,23,14,,0.00,1,,305
2015-7-4,29,23,18,19,17,16,94,75,54,1022,1020,1019,10,10,10,26,14,,0.00,2,,320
2015-7-5,27,22,17,17,12,5,88,59,28,1020,1019,1018,10,10,10,32,19,,0.00,1,,338
2015-7-6,31,23,16,15,13,12,88,62,33,1019,1017,1016,10,10,10,29,18,,0.00,1,,330
2015-7-7,29,23,17,17,14,9,88,65,42,1019,1018,1017,10,10,10,34,18,45,0.00,1,,329
2015-7-8,27,22,17,17,15,14,88,71,45,1019,1017,1015,10,10,10,29,21,47,0.00,1,,325
2015-7-9,28,22,17,17,16,15,94,73,48,1017,1015,1014,10,10,10,29,21,,0.00,1,,292
2015-7-10,24,21,18,15,14,14,83,69,53,1022,1020,1017,10,10,10,32,18,53,0.00,3,,319
2015-7-11,27,22,17,16,14,14,88,69,48,1022,1021,1020,10,10,10,34,23,48,0.00,1,,334
2015-7-12,26,21,17,16,15,14,88,73,51,1022,1020,1019,10,10,10,29,23,48,0.00,1,,322
2015-7-13,27,22,17,17,16,14,94,75,51,1020,1019,1018,10,10,10,27,19,,0.00,1,,317
2015-7-14,29,23,17,17,16,15,94,73,45,1019,1018,1017,10,10,10,32,13,34,0.00,1,,319
2015-7-15,31,24,18,17,16,11,88,71,29,1018,1016,1014,10,10,10,34,21,50,0.00,1,,318
2015-7-16,31,23,17,16,14,10,88,63,29,1017,1016,1015,10,10,10,27,19,,0.00,1,,334
2015-7-17,28,23,19,18,17,16,88,72,48,1018,1016,1015,10,10,10,27,16,,0.00,1,,327
2015-7-18,28,23,19,19,17,13,94,71,42,1020,1019,1018,10,10,10,19,13,,0.00,3,,303
2015-7-19,28,23,19,20,18,16,94,76,51,1020,1019,1017,10,10,10,26,11,,0.00,3,,301
2015-7-20,29,24,20,20,19,18,88,75,54,1018,1017,1016,10,10,10,29,19,,0.00,3,,326
2015-7-21,28,24,20,19,18,17,88,72,51,1018,1017,1016,10,10,10,29,19,,0.00,2,,332
2015-7-22,28,23,19,18,14,11,83,59,35,1020,1018,1018,10,10,10,37,24,47,0.00,1,,330
