date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm h,Mean Wind SpeedKm h,Max Gust SpeedKm h,Precipitationmm,CloudCover,Events,WindDirDegrees
2015-4-27,13,11,8,11,5,0,100,69,33,1013,1007,1004,31,11,3,29,19,52,0,6,Rain,359
2015-4-28,14,9,4,4,2,-2,87,58,23,1022,1019,1013,31,19,10,23,13,,0,4,,292
2015-4-29,16,11,6,8,2,-2,93,55,19,1022,1017,1015,31,18,10,26,11,29,5,6,Rain,188
2015-4-30,11,9,8,9,8,7,100,90,81,1017,1014,1011,31,10,3,23,13,50,90,6,Rain,225
2015-5-1,11,9,8,9,8,6,100,90,77,1011,1007,1005,26,9,3,26,16,,10,7,Rain,63
2015-5-2,13,11,8,12,9,7,94,90,78,1012,1009,1004,19,10,3,26,8,37,4,7,Rain,118
2015-5-3,20,16,11,15,13,10,100,85,47,1007,1004,1002,31,10,3,34,19,,30,7,Rain,201
2015-5-4,19,15,11,17,11,9,94,75,48,1010,1005,995,31,18,3,24,18,37,25,6,Rain,170
2015-5-5,18,16,13,17,10,3,88,64,27,1011,1002,995,31,17,10,47,24,72,5,4,Rain,214
2015-5-6,17,13,9,9,6,4,82,62,34,1018,1013,1011,31,16,3,39,27,55,5,4,Rain,226
2015-5-7,17,12,8,7,5,2,87,57,27,1021,1019,1017,31,18,10,23,13,,0,3,,223
2015-5-8,19,15,11,11,8,5,72,60,41,1017,1015,1013,31,23,10,24,11,,0,5,Rain,135
2015-5-9,20,17,13,12,9,5,82,59,29,1025,1020,1016,31,17,10,34,19,42,0,5,,243
2015-5-10,22,17,11,12,11,9,94,64,34,1027,1025,1023,31,15,10,16,8,,0,4,,157
2015-5-11,27,20,14,15,11,9,82,55,22,1023,1020,1018,31,23,19,14,11,34,0,8,,156
2015-5-12,20,16,12,15,11,7,88,67,36,1024,1020,1017,31,17,10,23,11,,0,5,,337
2015-5-13,20,14,8,11,7,4,81,60,41,1024,1019,1014,31,19,9,19,8,,10,4,Rain,51
2015-5-14,17,13,10,13,9,8,94,77,59,1015,1012,1009,31,13,3,29,11,37,30,7,Rain,153
2015-5-15,15,11,7,10,8,7,94,81,57,1025,1018,1013,19,11,5,24,11,,0,5,Rain,336
2015-5-16,18,12,7,12,8,6,94,77,41,1029,1026,1024,26,12,6,26,11,,0,4,Rain,270
