date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2015-5-24,38,27,16,18,8,1,48,23,5,1014,1012,1011,10,10,10,13,6,,0.00,3,,75
2015-5-25,39,32,25,18,14,7,57,36,14,1013,1011,1009,10,7,4,19,5,,0.00,,,344
2015-5-26,38,30,23,18,11,5,65,33,8,1013,1012,1010,10,10,10,19,11,,0.00,,,30
2015-5-27,44,36,28,11,4,-2,24,14,4,1009,1007,1003,10,5,2,39,14,,0.00,,,175
2015-5-28,32,27,22,20,14,2,78,44,9,1013,1010,1006,10,6,6,16,10,,0.00,8,,313
2015-5-29,28,24,20,14,11,7,64,42,20,1014,1012,1010,10,9,6,16,6,,0.00,3,,291
2015-5-30,28,23,19,15,12,8,68,48,19,1015,1014,1013,10,10,10,16,5,,0.00,2,,311
2015-5-31,28,23,18,16,12,8,78,52,19,1016,1014,1012,10,10,10,29,13,,0.00,2,,16
2015-6-1,28,23,19,14,12,7,77,49,18,1014,1012,1010,10,9,6,23,10,,0.00,2,,14
2015-6-2,31,25,19,17,13,9,73,49,17,1016,1013,1011,10,10,10,23,10,,0.00,,,15
2015-6-3,31,26,20,17,13,6,78,48,13,1016,1015,1013,10,10,10,16,13,,0.00,,,6
2015-6-4,29,24,20,17,14,7,78,52,16,1015,1014,1012,10,10,10,14,8,,0.00,3,,348
2015-6-5,31,25,19,17,13,9,68,48,17,1014,1012,1011,10,9,6,16,8,,0.00,1,,14
2015-6-6,28,24,21,17,15,12,73,53,27,1015,1014,1012,10,10,10,16,8,,0.00,,,15
2015-6-7,34,28,21,17,12,5,68,42,11,1015,1014,1012,10,10,10,23,14,,0.00,3,,44
2015-6-8,40,31,22,19,14,7,78,46,7,1014,1010,1005,10,7,2,35,16,,0.00,,,25
2015-6-9,32,27,22,20,16,11,83,54,20,1015,1013,1012,10,10,10,16,11,,0.00,2,,342
2015-6-10,31,26,20,19,15,10,88,54,18,1016,1014,1013,10,10,10,16,11,,0.00,3,,3
2015-6-11,30,25,20,18,16,12,83,56,23,1015,1013,1011,10,9,6,16,10,,0.00,2,,2
2015-6-12,30,26,22,18,16,13,83,54,26,1015,1013,1011,10,10,10,26,13,,0.00,2,,18
2015-6-13,30,24,19,18,16,13,83,56,25,1014,1013,1011,10,10,10,23,11,,0.00,3,,9
2015-6-14,31,26,21,18,17,15,83,58,28,1014,1012,1010,10,10,10,23,11,,0.00,3,,354
2015-6-15,33,27,21,19,16,11,83,53,17,1012,1011,1008,10,6,3,161,11,,0.00,5,,338
2015-6-16,36,29,22,19,16,11,78,49,17,1010,1009,1006,10,10,10,19,10,,0.00,,,318
2015-6-17,36,29,23,21,16,12,88,49,15,1009,1008,1004,10,6,3,21,8,,0.00,,,325
2015-6-18,39,31,24,19,12,3,73,33,6,1017,1007,1005,10,6,3,23,2,,0.00,,,289
2015-6-19,33,28,23,19,15,12,73,45,20,1011,1009,1007,10,8,4,24,11,,0.00,,,291
2015-6-20,31,27,23,18,16,13,73,51,24,1012,1010,1009,10,10,10,14,6,,0.00,4,,330
2015-6-21,32,27,22,18,16,14,78,53,24,1012,1011,1009,10,10,10,19,10,,0.00,3,,10
2015-6-22,32,27,22,19,15,11,73,49,20,1016,1011,1010,10,10,10,146,13,,0.00,,,13
2015-6-23,31,27,22,19,16,13,78,55,25,1013,1011,1010,10,10,10,19,11,,0.00,3,,351
2015-6-24,30,26,21,18,14,12,78,52,23,1014,1013,1011,10,10,10,19,11,,0.00,4,,336
2015-6-25,31,26,22,17,14,11,69,49,24,1014,1012,1010,10,10,10,19,11,,0.00,3,,311
2015-6-26,33,27,22,20,14,9,88,49,17,1012,1010,1008,10,10,10,21,11,,0.00,,,305
2015-6-27,38,31,24,18,10,3,69,30,8,1009,1006,1002,10,4,1,32,11,,0.00,,,213
2015-6-28,31,27,22,19,16,11,83,54,19,1013,1010,1008,10,10,10,21,13,,0.00,3,,279
2015-6-29,32,27,22,18,15,12,69,48,21,1015,1013,1011,10,10,10,27,8,,0.00,4,,9
2015-6-30,31,27,22,18,15,9,73,52,23,1016,1014,1013,10,10,10,19,11,,0.00,2,,6
2015-7-1,30,26,21,18,16,13,83,54,26,1016,1014,1011,10,9,6,16,11,,0.00,2,,12
2015-7-2,32,27,22,20,17,12,88,58,23,1015,1013,1012,10,8,6,26,13,,0.00,3,,353
2015-7-3,32,27,22,20,17,14,88,57,26,1014,1013,1011,10,10,10,19,11,,0.00,4,,342
2015-7-4,33,27,22,22,17,13,88,57,20,1014,1012,1011,10,8,6,16,6,,0.00,2,,345
